Year,Genre,Global_Sales
1980,Action,0.34
1980,Fighting,0.77
1980,Misc,2.71
1980,Shooter,7.069999999999999
1980,Sports,0.49
1981,Action,14.84
1981,Platform,6.93
1981,Puzzle,2.2399999999999998
1981,Racing,0.48
1981,Shooter,10.040000000000001
1981,Simulation,0.45
1981,Sports,0.79
1982,Action,6.5200000000000005
1982,Misc,0.87
1982,Platform,5.03
1982,Puzzle,10.03
1982,Racing,1.5699999999999998
1982,Shooter,3.79
1982,Sports,1.05
1983,Action,2.86
1983,Adventure,0.4
1983,Misc,2.14
1983,Platform,6.93
1983,Puzzle,0.78
1983,Shooter,0.48
1983,Sports,3.2
1984,Action,1.85
1984,Misc,1.45
1984,Platform,0.69
1984,Puzzle,3.14
1984,Racing,5.95
1984,Shooter,31.099999999999998
1984,Sports,6.18
1985,Action,3.52
1985,Fighting,1.05
1985,Platform,43.17
1985,Puzzle,3.21
1985,Shooter,1.0
1985,Simulation,0.03
1985,Sports,1.96
1986,Action,13.74
1986,Platform,9.39
1986,Racing,1.96
1986,Role-Playing,2.52
1986,Shooter,3.89
1986,Sports,5.57
1987,Action,1.12
1987,Adventure,4.38
1987,Fighting,5.42
1987,Platform,1.7400000000000002
1987,Role-Playing,4.65
1987,Shooter,0.71
1987,Sports,3.7199999999999998
1988,Action,1.75
1988,Platform,27.73
1988,Puzzle,5.58
1988,Racing,2.14
1988,Role-Playing,5.88
1988,Shooter,0.51
1988,Simulation,0.03
1988,Sports,3.5999999999999996
1989,Action,4.64
1989,Misc,1.28
1989,Platform,20.66
1989,Puzzle,37.75
1989,Role-Playing,2.2
1989,Shooter,1.2
1989,Sports,5.720000000000001
1990,Action,6.390000000000001
1990,Platform,22.97
1990,Puzzle,6.0
1990,Racing,6.26
1990,Role-Playing,4.52
1990,Simulation,1.14
1990,Sports,2.11
1991,Action,6.76
1991,Adventure,2.24
1991,Fighting,0.39
1991,Misc,0.08
1991,Platform,7.64
1991,Puzzle,3.24
1991,Racing,1.14
1991,Role-Playing,3.25
1991,Shooter,2.0
1991,Simulation,2.14
1991,Sports,2.41
1991,Strategy,0.94
1992,Action,3.83
1992,Adventure,12.24
1992,Fighting,15.25
1992,Misc,4.9399999999999995
1992,Platform,13.42
1992,Puzzle,4.84
1992,Racing,9.04
1992,Role-Playing,6.86
1992,Shooter,0.29000000000000004
1992,Simulation,2.14
1992,Sports,2.9499999999999997
1992,Strategy,0.36
1993,Action,1.81
1993,Adventure,0.07
1993,Fighting,8.75
1993,Misc,0.3
1993,Platform,18.67
1993,Puzzle,3.17
1993,Racing,0.36
1993,Role-Playing,5.59
1993,Shooter,3.08
1993,Simulation,0.19
1993,Sports,3.18
1993,Strategy,0.81
1994,Action,1.5499999999999998
1994,Adventure,3.74
1994,Fighting,8.47
1994,Misc,2.8600000000000003
1994,Platform,28.740000000000002
1994,Puzzle,1.53
1994,Racing,2.19
1994,Role-Playing,7.11
1994,Shooter,8.3
1994,Simulation,2.73
1994,Sports,8.39
1994,Strategy,3.56
1995,Action,3.57
1995,Adventure,0.72
1995,Fighting,14.85
1995,Misc,6.3999999999999995
1995,Platform,16.69
1995,Puzzle,2.71
1995,Racing,6.09
1995,Role-Playing,14.26
1995,Shooter,4.15
1995,Simulation,4.18
1995,Sports,7.9799999999999995
1995,Strategy,6.51
1996,Action,20.58
1996,Adventure,4.19
1996,Fighting,18.06
1996,Misc,10.68
1996,Platform,28.23
1996,Puzzle,3.9099999999999997
1996,Racing,28.24
1996,Role-Playing,43.96
1996,Shooter,6.91
1996,Simulation,11.33
1996,Sports,17.45
1996,Strategy,5.61
1997,Action,27.580000000000002
1997,Adventure,4.96
1997,Fighting,11.76
1997,Misc,5.69
1997,Platform,21.85
1997,Puzzle,5.89
1997,Racing,31.91
1997,Role-Playing,21.79
1997,Shooter,22.17
1997,Simulation,9.65
1997,Sports,30.02
1997,Strategy,7.71
1998,Action,39.44
1998,Adventure,9.05
1998,Fighting,31.66
1998,Misc,11.94
1998,Platform,29.88
1998,Puzzle,6.34
1998,Racing,27.900000000000002
1998,Role-Playing,28.09
1998,Shooter,9.799999999999999
1998,Simulation,7.11
1998,Sports,41.79
1998,Strategy,13.47
1999,Action,27.78
1999,Adventure,7.6
1999,Fighting,14.26
